"Text","Types","Tokens","TTR"
"01 The Science of Deduction",1042,2986,34.89618218352311
"02 The Statement of the Case",714,1867,38.24317086234601
"03 In Quest of a Solution",730,1769,41.26625211984172
"04 The Story of the Bald-Headed Man",1153,3884,29.685890834191554
"05 The Tragedy of Pondicherry Lodge",849,2669,31.809666541775943
"06 Sherlock Holmes Gives a Demonstration",964,3191,30.209965528047633
"07 The Episode of the Barrel",1325,4277,30.979658639233108
"08 The Baker Street Irregulars",1085,3412,31.79953106682298
"09 A Break in the Chain",1009,3686,27.373846988605532
"10 The End of the Islander",1034,3399,30.42071197411003
"11 The Great Agra Treasure",722,2219,32.53717890941866
"12 The Strange Story of Jonathan Small",1965,10445,18.81282910483485
