"Text","Types","Tokens","TTR"
"01 The Science of Deduction",713,1769,40.30525720746184
"02 The Statement of the Case",686,1769,38.77897117015262
"03 In Quest of a Solution",730,1769,41.26625211984172
"04 The Story of the Bald-Headed Man",682,1769,38.552854720180896
"05 The Tragedy of Pondicherry Lodge",639,1769,36.122102882984734
"06 Sherlock Holmes Gives a Demonstration",635,1769,35.895986433013
"07 The Episode of the Barrel",702,1769,39.68343697003957
"08 The Baker Street Irregulars",630,1769,35.613340870548335
"09 A Break in the Chain",624,1769,35.27416619559073
"10 The End of the Islander",624,1769,35.27416619559073
"11 The Great Agra Treasure",616,1769,34.821933295647256
"12 The Strange Story of Jonathan Small",618,1769,34.934991520633126
