year	week	rank	title_id	title	author	first_name	gender_signal
1931	1931-10-12	1	6477	The Ten Commandments	Warwick Deeping	Warwick	M
1931	1931-10-12	2	1808	Finche'S Fortune	Mazo de la Roche	Mazo	U
1931	1931-10-12	3	5304	The Good Earth	Pearl S. Buck	Pearl	F
1931	1931-10-12	4	4038	Shadows On The Rock	Willa Cather	Willa	F
1931	1931-10-12	5	3946	Scarmouche The King Maker	Rafael Sabatini	Rafael	M
1931	1931-11-16	1	2878	Maid In Waiting	John Galsworthy	John	M
1931	1931-11-16	2	7031	Two People	A. A. Milne	A.	I
1931	1931-11-16	3	413	American Beauty	Edna Ferber	Edna	F
1931	1931-11-16	4	859	Broome Stages	Clemence Dane	Clemence	A
1931	1931-11-16	5	4235	Sparks Fly Upward	Oliver LaFarge	Oliver	M
1931	1931-11-30	1	2878	Maid In Waiting	John Galsworthy	John	M
1931	1931-11-30	2	413	American Beauty	Edna Ferber	Edna	F
1931	1931-11-30	3	7031	Two People	A. A. Milne	A.	I
1931	1931-12-07	1	2878	Maid In Waiting	John Galsworthy	John	M
1931	1931-12-07	2	5303	The Good Earth	Pearl S. Buck	Pearl	F
1931	1931-12-07	3	7031	Two People	A. A. Milne	A.	I
1931	1931-12-14	1	2878	Maid In Waiting	John Galsworthy	John	M
1931	1931-12-14	2	7031	Two People	A. A. Milne	A.	I
1931	1931-12-14	3	2886	Malaysia	Henri Fauconnier	Henri	A
1931	1931-12-21	1	2878	Maid In Waiting	John Galsworthy	John	M
1931	1931-12-21	2	859	Broome Stages	Clemence Dane	Clemence	A
1931	1931-12-21	3	7209	Westward Passage	Margaret Ayer Barnes	Margaret	F
1931	1931-12-28	1	2878	Maid In Waiting	John Galsworthy	John	M
1931	1931-12-28	2	7209	Westward Passage	Margaret Ayer Barnes	Margaret	F
1931	1931-12-28	3	859	Broome Stages	Clemence Dane	Clemence	A
1932	1932-01-04	1	2878	Maid In Waiting	John Galsworthy	John	M
1932	1932-01-04	2	7209	Westward Passage	Margaret Ayer Barnes	Margaret	F
1932	1932-01-04	3	860	Broome Stages	Clemence Dane	Clemence	A
1932	1932-01-11	1	5362	The Harbourmaster	William McFee	William	M
1932	1932-01-11	2	2878	Maid In Waiting	John Galsworthy	John	M
1932	1932-01-11	3	5304	The Good Earth	Pearl S. Buck	Pearl	F
1932	1932-01-18	1	5362	The Harbourmaster	William McFee	William	M
1932	1932-01-18	2	5747	The Man From Sing Sing	E. Phillips Oppenheim	E.	I
1932	1932-01-18	3	2878	Maid In Waiting	John Galsworthy	John	M
1932	1932-01-25	1	3095	Mr. And Mrs. Pennington	Francis Brett Young	Francis	M
1932	1932-01-25	2	5362	The Harbourmaster	William McFee	William	M
1932	1932-01-25	3	5058	The End Of Desire	Robert Herrick	Robert	M
1932	1932-02-01	1	3095	Mr. And Mrs. Pennington	Francis Brett Young	Francis	M
1932	1932-02-01	2	5362	The Harbourmaster	William McFee	William	M
1932	1932-02-01	3	7209	Westward Passage	Margaret Ayer Barnes	Margaret	F
1932	1932-02-08	1	5058	The End Of Desire	Robert Herrick	Robert	M
1932	1932-02-08	2	2916	Mary'S Neck	Booth Tarkington	Booth	M
1932	1932-02-08	3	3095	Mr. And Mrs. Pennington	Francis Brett Young	Francis	M
1932	1932-02-15	1	2916	Mary'S Neck	Booth Tarkington	Booth	M
1932	1932-02-15	2	3095	Mr. And Mrs. Pennington	Francis Brett Young	Francis	M
1932	1932-02-15	3	7209	Westward Passage	Margaret Ayer Barnes	Margaret	F
1932	1932-02-22	1	2916	Mary'S Neck	Booth Tarkington	Booth	M
1932	1932-02-22	2	2740	Loads Of Love	Anne Parrish	Anne	F
1932	1932-02-22	3	3019	Miss Pinkerton	Mary Roberts Rinehart	Mary	F
1932	1932-02-29	1	2916	Mary'S Neck	Booth Tarkington	Booth	M
1932	1932-02-29	2	3019	Miss Pinkerton	Mary Roberts Rinehart	Mary	F
1932	1932-02-29	3	2740	Loads Of Love	Anne Parrish	Anne	F
1932	1932-03-07	1	2916	Mary'S Neck	Booth Tarkington	Booth	M
1932	1932-03-07	2	3019	Miss Pinkerton	Mary Roberts Rinehart	Mary	F
1932	1932-03-07	3	821	Brave New World	Aldous Huxley	Aldous	M
1932	1932-03-14	1	2916	Mary'S Neck	Booth Tarkington	Booth	M
1932	1932-03-14	2	6801	Thirteen Women	Tiffany Thayer	Tiffany	F
1932	1932-03-14	3	449	And Life Goes On	Vicki Baum	Vicki	F
1932	1932-03-21	1	2916	Mary'S Neck	Booth Tarkington	Booth	M
1932	1932-03-21	2	25	1919	John Dos Passos	John	M
1932	1932-03-21	3	2740	Loads Of Love	Anne Parrish	Anne	F
1932	1932-03-28	1	2916	Mary'S Neck	Booth Tarkington	Booth	M
1932	1932-03-28	2	2875	Magnolia Street	Louis Golding	Louis	M
1932	1932-03-28	3	3978	Second-Hand Wife	Kathleen Norris	Kathleen	F
1932	1932-04-04	1	2875	Magnolia Street	Louis Golding	Louis	M
1932	1932-04-04	2	2916	Mary'S Neck	Booth Tarkington	Booth	M
1932	1932-04-04	3	5304	The Good Earth	Pearl S. Buck	Pearl	F
1932	1932-04-11	1	2875	Magnolia Street	Louis Golding	Louis	M
1932	1932-04-11	2	5304	The Good Earth	Pearl S. Buck	Pearl	F
1932	1932-04-11	3	6801	Thirteen Women	Tiffany Thayer	Tiffany	F
1932	1932-04-18	1	2875	Magnolia Street	Louis Golding	Louis	M
