Text,Author,Title,Year,Original (if translated),Genre,Publisher Location,Publisher Name,Nationality of Author,Keywords,Origin
W-D-Arnold-Oakfield-or-Fellowship-in-the-East-1854-fiction.txt,William Delafield Arnold,"Oakfield; Or, Fellowship in the East",1855,,Fiction,Cambridge,"Metcalf and Company, Printers to the University",British,,HathiTrust
F-W-Bain-Digit-of-the-Moon-A-Hindoo-Love-Story-Translation-Fiction-1901.txt,Francis William Bain,A Hindoo Love Story,1898,,Fiction,London,Methuen & Co. Ltd.,British,"Translation from Sanskrti (""The Churning of the Ocean of Time"": Sansara-Sagara-Manthanam)",HathiTrust
S-B-Banerjea-Tales-of-Bengal-Fiction.txt,S.B. Banerjea,Tales of Bengal,1910,,Fiction,"New York, Bombay, Calcutta","Longmans, Green, and Co.",South Asian,Introduction by Francis H. Skrine,Gutenberg
Edmund-Candler-The-Sepoy-1919-Nonfiction.txt,Edmund Candler,The Sepoy,1919,,Fiction,London,John Murray,British,,Gutenberg
Edmund-Candler-Abdication-1922-fiction.txt,Edmund Candler,Abdication,1922,,Fiction,"London, Bombay",Constable & Co.,British,,HathiTrust
Edmund-Candler-Siri-Ram-Revolutionist-A-Transcript-from-Life-Fiction.txt,Edmund Candler,"Siri Ram, Revolutionist",1911,,Fiction,"London, Bombay",Constable & Co.,British,,HathiTrust
Edmund-Candler-The-Mantle-of-the-East-1910-Nonfiction.txt,Edmund Candler,Mantle of the East,1910,,Nonfiction,London,William Blackwood and Sons,British,,HathiTrust
Edmund-Candler-The-Year-of-Chivalry-1916-nonfiction.txt,Edmund Candler,Year of Chivalry,1916,,Nonfiction,London,"Simpkin, Marshall, Hamilton, Kent & Co.",British,,HathiTrust
Bankim-Chandra-Chatterji-Anandamath-Dawn-Over-India-Translation-1940.txt,Bankim Chandra Chatterji,Anandamath: Dawn Over india,1941,1882,Fiction,New York,Devin-Adair Company,South Asian,Translation; Translated by Basanta Koomar Roy. Translation 1941. Not copyrighted in the U.S.; Indian nationalism; Allegory,HathiTrust
Bankim-Chandra-Chatterji-Kapalkundala-Translation-1919-fiction.txt,Bankim Chandra Chatterji,Kapalkundala,1919,1866,Fiction,Calcutta,K.M. Bagchi,South Asian,Translation; translated by Devendra nath Ghose,Wikisource
Bankim-Chandra-Chatterji-Krishnakantas-Will-1917-fiction-translation.txt,Bankim Chandra Chatterji,Krishnakanta's Will,1917,1878,Fiction,,,South Asian,Translation; Translated by Dakshina Charan Roy,HathiTrust
Bankim-Chandra-Chatterji-Rajmohans-Wife-a-Novel-1864-fiction.txt,Bankim Chandra Chatterji,Rajmohan's Wife,1935,1864,Fiction,,,South Asian,Written originally in English,
Bankim-Chandra-Chatterji-The-Poison-Tree-A-Tale-of-Hindu-Life-in-Bengal.txt,Bankim Chandra Chatterji,Poison Tree: A Tale of Hindu Life in Bengal,1884,1873,Fiction,London,T. Fisher Unwin,South Asian,Translation; Translated by Miriam S. Knight.,Gutenberg
Saratchandra-Chatterji-Srikanta-1922-fiction-translation.txt,Saratchandra Chatterji,Srikanta,1922,,Fiction,"London, Bombay, Calcutta, Madras","Humphrey Milford, Oxford University Press",South Asian,Translated by K.C. Sen and Theodosia Thompson,Wikisource
B-M-Croker-Proper-Pride-1882-fiction.txt,Bithia Mary Croker,Proper Pride,1882,,Fiction,London,Tinsley Brothers,Irish,,HathiTrust
B-M-Croker-Dianna-Barrington-A-Romance-of-Central-India-1888-fiction.txt,Bithia Mary Croker,Diana Barrington: A Romance of Central India,1888,,Fiction,New York,"George Munro, Publisher",Irish,,HathiTrust
B-M-Croker-Rolling-Stone-1911.txt,Bithia Mary Croker,A Rolling Stone,1911,,Fiction,London,F.V. White & Co.,Irish,,HathiTrust
Maud-Diver-Captain-Desmond-V-C-Fiction.txt,Maud Diver,"Captain Desmond, V.C.",1917,,Fiction,"London, Edinburgh",William Blackwood and Sons,British,,Gutenberg
Maud-Diver-Far-to-Seek-Fiction.txt,Maud Diver,Far to Seek: A Romance of England and India,1921,,Fiction,"London, Edinburgh",William Blackwood and Sons,British,,Gutenberg
Maud-Diver-Lilaman-1911-Fiction.txt,Maud Diver,Lilamani: A Study in Possibilities,1911,,Fiction,,,British,,HathiTrust
Maud-Diver-The-Great-Amulet-1915.txt,Maud Diver,The Great Amulet,1908,,Fiction,"London, Edinburgh",William Blackwood and Sons,British,,Gutenberg
Maud-Diver-Unconquered-1917-fiction.txt,Maud Diver,Unconquered,1917,,Fiction,New York,Knickerbocker Press,British,,HathiTrust
Henry-Louis-Vivian-Derozio-Poems-1923-poetry.txt,Henry Louis Vivian Derozio,Poems of Henry Louis Vivian Derozio: A Forgotten Anglo-Indian Poet,1829,,Poetry,Oxford,Humphrey Milford Oxford University Press,South Asian,,HathiTrust
Alice-Elizabeth-Dracott-Simla-Village-Tales-or-Folk-Tales-from-the-Himalayas-1906-fiction.txt,Alice Elizabeth Dracott,"Simla Village Tales, Or, Folk Tales from the Himalayas",1906,,Fiction,London,John Murray,British,,
Sara-Jeannette-Duncan-Hilda-A-Story-of-Calcutta-1898.txt,Sara Jeannette Duncan,Hilda: A Story of Calcutt,1898,,Fiction,New York,Frederick A. Stokes Company,Canadian,,Gutenberg
Sara-Jeannette-Duncan-The-Burnt-Offering-1910-Fiction.txt,Sara Jeannette Duncan,Burnt Offering,1910,,Fiction,New York,John Lane Company,Canadian,,HathiTrust
Sara-Jeannette-Duncan-The-Pool-in-the-Desert-Fiction.txt,Sara Jeannette Duncan,Pool in the Desert,1903,,Fiction,,,Canadian,,Gutenberg
Sara-Jeannette-Duncan-The-Simple-Adventures-of-a-Memsahib.txt,Sara Jeannette Duncan,Simple Adventures of a Memsahib,1893,,Fiction,New York,Appleton and Company,Canadian,,Gutenberg
Sara-Jeannette-Duncan-The-Story-of-Sonny-Sahib-1894.txt,Sara Jeannette Duncan,Story of Sonny Sahib,1894,,Fiction,,,Canadian,,Gutenberg
Michael-S-Dutt-Sermista-A-Drama-in-Five-Acts-1859-drama.txt,Michael Madhusudan Dutt,Sermista; a drama in five acts,1859,,Drama,Calcutta,Stanhope Press,South Asian,Translated from Bengali by the Author,HathiTrust
Toru-Dutt-Ancient-Ballads-And-Legends-of-Hindustan-1885.txt,Toru Dutt,Ancient Ballads and Legends of Hindustan,1885,,Poetry,London,"Kegan Paul, Trench & Co.",South Asian,Preface by Edmund W. Gosse,Gutenberg
Helen-S-Dyer-Pandita-Ramabai-The-Story-of-her-Life-1900-nonfiction.txt,Helen S. Dyer,Pandita Ramabai: The Story of Her Life,1900,,Nonfiction,New York,"Fleming H. Revell Company, Publishers of Evangelical Literature",American,Biography of Ramabai featuring long extracts of Ramabai's own writing,HathiTrust
S-M-Edwardes-By-Ways-of-Bombay-Fiction.txt,Stephen Meredyth Edwardes,By-Ways of Bombay,1912,,Nonfiction,,,British,Ethnography; Literary Quality,Gutenberg
Edward-S-Ellis-The-Jungle-Fugitives-A-Tale-of-Life-and-Adventure-in-India-1903-Fiction.txt,Edward Sylvester Ellis,Jungle Fugitives: A Tale of Life and Adventure in India,1903,,Fiction,New York,Hurst and Company,American,,Gutenberg
Georgene-Faulkner-The-White-Elephant-and-Other-Tales-from-Old-India-1929-fiction.txt,Georgene Faulkner,The White Elephant and Other Tales from Old India,1929,,Fiction,New York,P.F. Vollard Company,American,Juvenile Fiction,Gutenberg
George-Manville-Fenn-Begumbach-A-Tale-of-the-Indian-Mutiny-Fiction.txt,George Manville Fenn,"Begumbagh, A Tale of the Indian Mutiny",1879,,Fiction,"London, Edinburgh",W. & R. Chambers,British,Historical fiction; Sepoy Mutiny; 1857,Gutenberg
E-M-Forster-A-Passage-to-India-1923-fiction.txt,Edward Morgan Forster,A Passage to India,1924,,Fiction,London,Edward Arnold & Co.,British,,Gutenberg
M-Frere-Old-Deccan-Days-or-Hindoo-Fariy-Legends-Current-in-Southern-India-1870-Fiction.txt,Mary Frere,"Old Deccan Days, Or Hindu Fairy Legends",1870,,Fiction,Philadelphia,Lippincott's Press,British,Folklore,Gutenberg
Frederick-P-Gibbon-The-Disputed-V-C-A-Tale-of-the-Indian-Mutiny.txt,Frederick Gibbon,Disputed V.C: A Tale of the Indian Mutiny,1904,,Fiction,London,Blackie & Son,British,Sepoy Mutiny; 1857,Gutenberg
G-A-Henty-At-The-Point-of-the-Bayonet-A-Tale-of-the-Mahratta-War.txt,George Alfred Henty,At the Point of the Bayonet: A Tale of the Mahratta War,1901,,Fiction,London,,British,Historical fiction; War; Mahratta; Maratha; Maharashtra,Gutenberg
G-A-Henty-In-Times-of-Peril-A-Tale-of-India-Fiction.txt,George Alfred Henty,In Times of Peril: A Tale of India,1881,,Fiction,,,British,,Gutenberg
G-A-Henty-Rujub-the-Juggler-Fiction.txt,George Alfred Henty,"Rujub, The Juggler",1893,,Fiction,,,British,,Gutenberg
G-A-Henty-The-Tiger-of-Mysore-A-Story-of-the-War-With-Tippoo-Sahib.txt,George Alfred Henty,The Tiger of Mysore: A Story of the War With Tippoo Saib,1895,,Fiction,,,British,Historical fiction; Tippoo Sultan; War,Gutenberg
G-A-Henty-Through-the-Sikh-War-A-Tale-of-the-conquest-ofthe-Punjab-Fiction.txt,George Alfred Henty,Through the Sikh War: A Tale of the Conquest of the Punjab,1894,,Fiction,London,Blackie & Son,British,Historical fiction; Anglo-Sikh wars; Punjab,Gutenberg
W-S-R-Hodson-Twelve-Years-of-a-soldiers-life-in-india-1860-Mutiny-Nonfiction.txt,William Stephen Raikes Hodson,Twelve Years of a Soldiers' Life in India,1860,,Nonfiction,Boston,Ticknor and Fields,British,,Gutenberg
Rokeya-Sakhawat-Hossain-Sultanas-Dream-1905-fiction.txt,Rokeya Sakhwat Hossain,Sultana's Dream,1905,,Fiction,Madras,Indian Ladies' Magazine,South Asian,,
P-W-Jacob-Hindoo-Tales-or-The-Adventures-of-Ten-Princes-Translation-Fiction-1873.txt,Philip Whittington Jacob,"Hindoo Tales, or the Adventures of Ten Princes",1873,,Nonfiction,London,Stahan & Co.,British,"Translation from Sanskrit, The Dasakumaracharitam",Gutenberg
Inayat-Khan-and-Jessie-Duncan-Westbrook-Hindustani-Lyrics-1919-poetry.txt,Inayat Khanand Jessie Duncan Westbrook,Hindustani Lyrics,1919,,Poetry,London,Sufi Publishing Society,South Asian; British,Translations from Urdu poetry,Gutenberg
John-Lockwood-Kipling-Beast-and-Man-in-India.txt,John Lockwood Kipling,Beast and Man in India,1904,,Nonfiction,London,"Macmillan and Co., Limited",British,,Gutenberg
Rudyard-Kipling-Departmental-Ditties-and-Barrack-Room-Ballads-Poetry.txt,Rudyard Kipling,Departmental Ditties and Barrack Room Ballads,1887,,Poetry,,,British,,Gutenberg
Rudyard-Kipling-In-Black-and-White.txt,Rudyard Kipling,In Black and White,1895,,Fiction,London,Macmillan and Company,British,,Gutenberg
Rudyard-Kipling-Just-So-Stories.txt,Rudyard Kipling,Just So Stories,1902,,Fiction,,,British,Juvenile fiction,Gutenberg
Rudyard-Kipling-Kim.txt,Rudyard Kipling,Kim,1900,,Fiction,New York,Doubleday and Company,British,,Gutenberg
Rudyard-Kipling-Plain-Tales-From-the-Hills.txt,Rudyard Kipling,Plain Tales from the Hills,1888,,Fiction,,,British,,Gutenberg
Rudyard-Kipling-Soldiers-Three-Fiction.txt,Rudyard Kipling,Soldiers Three,1895,,Fiction,,,British,,Gutenberg
Rudyard-Kipling-The-City-of-Dreadful-Night-1899-Fiction.txt,Rudyard Kipling,City of Dreadful Night,1885,,Fiction,New York,Alex. Grosset & Co.,British,,Gutenberg
Rudyard-Kipling-The-Jungle-Book.txt,Rudyard Kipling,Jungle Book,1894,,Fiction,,,British,,Gutenberg
Rudyard-Kipling-The-Man-Who-Would-Be-King.txt,Rudyard Kipling,Man Who Would be King,1910,,Fiction,London,,British,,Gutenberg
Rudyard-Kipling-The-Phantom-Rickshaw.txt,Rudyard Kipling,Phantom Rickshaw and Other Ghost Stories,1888,,Fiction,,,British,,Gutenberg
Rudyard-Kipling-The-Second-Jungle-Book-fiction.txt,Rudyard Kipling,Second Jungle Book,1895,,Fiction,,,British,,Gutenberg
Rudyard-Kipling-and-Wolcott-Balestier-The-Naulahka-1891-fiction.txt,Rudyard Kipling and Wolcott Balestier,The Naulahka: A Story of West and East,1892,,Fiction,New York,"Doubleday, Page & Company","British, American",,HathiTrust
Katherine-Mayo-Mother-India-1937-nonfiction-copyright.txt,Katherine Mayo,Mother India,1937,,Nonfiction,New York,,American,Gender; Religion; Copyright question,
Major-J-F-A-McNair-Oral-Tales-From-the-Indus-1908-fiction.txt,John Frederick Adolphus McNair and Thomas Lamberg Barlow,"Oral Tradition From the Indus, Comprised in Tales.",1908,,Fiction,Brighton,Cranbourne Printing Works,British,Folklore,Gutenberg
Dhan-Gopal-Mukerji-Beast-and-Man-in-India-1923.txt,Dhan Gopal Mukerji,Caste and Outcast,1923,,Nonfiction,New York,Dutton & Company,South Asian,From India to the U.S.,HathiTrust
Dhan-Gopal-Mukerji-Kari-the-Elephant-1922-Fiction.txt,Dhan Gopal Mukerji,Kari the Elephant,1922,,Fiction,New York,Dutton & Company,South Asian,Juvenile Fiction,Gutenberg
Dhan-Gopal-Mukerji-Layla-Majnu-A-Musical-Play-in-Three-Acts-1916-Drama.txt,Dhan Gopal Mukerji,Layla-Majnu: A Musical Play in Three Acts,1916,,Fiction,San Francisco,Paul Elder & Co.,South Asian,Adapted from the traditional Arabic/Persian story (often retold orally in Indian languages),HathiTrust
Dhan-Gopal-Mukerji-Rajani-Songs-of-the-Night-1916-Poetry.txt,Dhan Gopal Mukerji,Rajani: Songs of the Night,1916,,Poetry,San Francisco,Paul Elder & Co.,South Asian,"Introduction by David Starr Jordan, Stanford Univesity",HathiTrust
Dhan-Gopal-Mukerji-Songs-of-Twilight-1917-Poetry.txt,Dhan Gopal Mukerji,Sandhya: Songs of Twilight,1917,,Poetry,San Francisco,Paul Elder & Co.,South Asian,,Gutenberg
Talbot-Mundy-A-Soldier-and-a-Gentleman-1914-fiction.txt,Talbot Mundy,A Soldier and a Gentleman,1914,,Fiction,,,American,,Wiksource
Talbot-Mundy-Case-13-1932-fiction-copyright.txt,Talbot Mundy,Case 13,1932,,Fiction,,Adventure Magazine,American,Copyright question,Gutenberg Australia
Talbot-Mundy-Caves-of-Terror-the-Grey-Mahatma-fiction.txt,Talbot Mundy,Caves of Terror: the Gray Mahatma,1924,,Fiction,,,American,,Wikisource
Talbot-Mundy-Guns-of-the-Gods-fiction.txt,Talbot Mundy,Gunds of the Gods: A Story of Yasmini's Youth,1921,,Fiction,Indianapolis,Bobbs-Merrill Company,American,,Gutenberg Australia
Talbot-Mundy-Hira-Singh-When-India-Came-to-Fight-in-Flanders.txt,Talbot Mundy,Hira Singh: When India Came to Fight in Flanders,1915,,Fiction,,,American,,Gutenberg
Talbot-Mundy-Hookum-Hai-1913-fiction.txt,Talbot Mundy,Hookum Hai,1913,,Fiction,,Adventure Magazine,American,,
Talbot-Mundy-King-of-the-Khyber-Rifles-A-Romance-of-Adventure-Fiction.txt,Talbot Mundy,King--of the Khyber Rifles,1916,,Fiction,London,Bobbs-Merrill Company,American,,Gutenberg
Talbot-Mundy-The-Red-Flame-of-Erinpura-fiction-1927.txt,Talbot Mundy,Red Flame of Erinpura,1927,,Fiction,,Adventure Magazine,American,Copyright question,Gutenberg Australia
Talbot-Mundy-The-Winds-of-the-World-1915-fiction.txt,Talbot Mundy,Winds of the World,1915,,Fiction,Toronto,George J. McLeod,American,,Wikisource
Sarojini-Naidu-The-Golden-Threshold-Poetry-1905.txt,Sarojini Naidu,Golden Threshold,1896,,Poetry,"London, Hyderabad",,South Asian,,Gutenberg
Pandita-Ramabai-The-High-Caste-Hindu-Woman-1888-nonfiction.txt,Pandita Ramabai,The High Caste Hindu Woman,1888,,Nonfiction,Philadelphia,Tenth Thousand,South Asian,Gender; Religion; Caste,HathiTrust
Krupabai-Satthianadhan-Kamala-A-Story-of-Hindu-Life-1894-fiction.txt,Krupabai Satthianadhan,Kamala: A Story of Hindu Life,1894,,Fiction,Bombay,,South Asian; British,Gender; Religion,HathiTrust
Cornelia-Sorabji-Between-the-Twilights-1908-nonfiction.txt,Cornelia Sorabji,Between the Twilights: Being Studies of Indian Women By one of Themselves,1908,,Fiction,"London, New York",Harper and Brothers,South Asian,,HathiTrust
Cornelia-Sorabji-Indian-Tales-of-the-Great-Ones-Among-Men-and-Bird-People-Fiction.txt,Cornelia Sorabji,"Indian Tales of the Great Ones Among Men, and Bird-People",1916,,Fiction,"Bombay, London, Glasgow",Blackie and Son,South Asian,Juvenile Fiction,HathiTrust
Cornelia-Sorabji-Love-and-Life-Beyond-the-Purdah-1901-fiction.txt,Cornelia Sorabji,Love and Life Behind the Purdah,1901,,Fiction,London,Freemantle & Co.,South Asian,With Introductory note by Marchioness of Dufferin,Gutenberg
Cornelia-Sorabji-Shubala-A-Child-Mother-1920-nonfiction.txt,Cornelia Sorabji,Shubala-A Child Mother,1920,,Nonfiction,Calcutta,Baptist Mission Press,South Asian,Pamphlet,HathiTrust
Cornelia-Sorabji-Sun-Babies-Studies-in-the-Child-Life-of-India-1904-Fiction.txt,Cornelia Sorabji,Sun-Babies: Studies in the Child-Life of India,1904,,Fiction,London,John Murray,South Asian,,HathiTrust
Flora-Annie-Steel-A-Prince-of-Dreamers-1909-fiction.txt,Flora Annie Steel,A Prince of Dreamers,1909,,Fiction,New York,"Doubleday, Page & Company",British,Historical fiction based on Emperor Akbar,Gutenberg
Flora-Annie-Steel-Adventures-of-Akbar-1913.txt,Flora Annie Steel,The Adventures of Akbar,1913,,Fiction,London,William Heinemann,British,Juvenile Fiction,Gutenberg
