"Text","Overall Types","Overall Tokens","Overall TTR"
"1897-Alice-Macdonald-Fleming-A-Pinchbeck-Goddess-1897-fiction.txt",7369,69286,10.635626244840228
"Alice-Elizabeth-Dracott-Simla-Village-Tales-or-Folk-Tales-from-the-Himalayas-1906-fiction.txt",3492,41675,8.379124175164968
"Annie-Besant-The-Case-for-India-1917-Nonfiction.txt",3668,18153,20.206026552085056
"Arthur-Conan-Doyle-The-Sign-of-the-Four-1890.txt",5379,43804,12.279700483974066
"B-M-Croker-Dianna-Barrington-A-Romance-of-Central-India-1888-fiction.txt",11265,138618,8.126650218586331
"B-M-Croker-Proper-Pride-1882-fiction.txt",9971,105895,9.415930874923273
"B-M-Croker-Rolling-Stone-1911.txt",8612,89296,9.644328973302276
"Bankim-Chandra-Chatterji-Anandamath-Dawn-Over-India-Translation-1940.txt",4910,44188,11.111614012854169
"Bankim-Chandra-Chatterji-Kapalkundala-Translation-1919-fiction.txt",5027,34175,14.709583028529627
"Bankim-Chandra-Chatterji-Krishnakantas-Will-1917-fiction-translation.txt",3670,37776,9.715163066497247
"Bankim-Chandra-Chatterji-Rajmohans-Wife-a-Novel-1864-fiction.txt",5040,36178,13.931118359223838
"Bankim-Chandra-Chatterji-The-Poison-Tree-A-Tale-of-Hindu-Life-in-Bengal.txt",4980,48512,10.265501319261213
"Collected-Poems-of-Henry-Derozio-Downloadable.txt",5391,46855,11.505709102550421
"Cornelia-Sorabji-Between-the-Twilights-1908-nonfiction.txt",5607,37512,14.94721689059501
"Cornelia-Sorabji-Indian-Tales-of-the-Great-Ones-Among-Men-and-Bird-People-Fiction.txt",1787,10972,16.286912139992708
"Cornelia-Sorabji-Love-and-Life-Beyond-the-Purdah-1901-fiction.txt",6308,39647,15.910409362625167
"Cornelia-Sorabji-Shubala-A-Child-Mother-1920-nonfiction.txt",1323,4382,30.191693290734822
"Cornelia-Sorabji-Sun-Babies-Studies-in-the-Child-Life-of-India-1904-Fiction.txt",4512,28045,16.088429310037437
"Dhan-Gopal-Mukerji-Beast-and-Man-in-India-1923.txt",6361,67104,9.479315689079638
"Dhan-Gopal-Mukerji-Kari-the-Elephant-1922-Fiction.txt",2452,19911,12.314800863844107
"Dhan-Gopal-Mukerji-Layla-Majnu-A-Musical-Play-in-Three-Acts-1916-Drama.txt",1908,8622,22.129436325678498
"Dhan-Gopal-Mukerji-Rajani-Songs-of-the-Night-1916-Poetry.txt",1713,6846,25.02191060473269
"Dhan-Gopal-Mukerji-Songs-of-Twilight-1917-Poetry.txt",1866,8306,22.465687454851917
"E-M-Forster-A-Passage-to-India-1923-fiction.txt",9000,102972,8.740240065260458
"Edmund-Candler-Abdication-1922-fiction.txt",10047,82903,12.11898242524396
"Edmund-Candler-Siri-Ram-Revolutionist-A-Transcript-from-Life-Fiction.txt",9150,65791,13.907677341885668
"Edmund-Candler-The-Mantle-of-the-East-1910-Nonfiction.txt",10167,64745,15.70314309985327
"Edmund-Candler-The-Sepoy-1919-Nonfiction.txt",6672,48275,13.820818228896945
"Edmund-Candler-The-Year-of-Chivalry-1916-nonfiction.txt",10325,77337,13.350660098012595
"Edward-S-Ellis-The-Jungle-Fugitives-A-Tale-of-Life-and-Adventure-in-India-1903-Fiction.txt",6839,72165,9.47689323079055
"F-W-Bain-Digit-of-the-Moon-A-Hindoo-Love-Story-Translation-Fiction-1901.txt",3883,29953,12.963643040763865
"Flora-Annie-Steel-A-Prince-of-Dreamers-1909-fiction.txt",9591,107231,8.944241870354656
"Flora-Annie-Steel-Adventures-of-Akbar-1913.txt",5042,48991,10.29168622808271
"Flora-Annie-Steel-From-the-Five-Rivers.txt",6559,47824,13.714871194379391
"Flora-Annie-Steel-On-the-face-of-the-waters.txt",11886,179506,6.621505687832162
"Flora-Annie-Steel-Tales-of-the-Punjab-Folklore-of-India.txt",6812,82849,8.222187352895025
"Flora-Annie-Steel-The-Flower-of-Forgiveness-1894-fiction.txt",8865,83093,10.668768729014477
"Flora-Annie-Steel-The-Potters-Thumb-1900.txt",9844,130714,7.530945422831525
"Flora-Annie-Steel-Voices-in-the-Night-1900.txt",10771,143280,7.517448352875489
"Frederick-P-Gibbon-The-Disputed-V-C-A-Tale-of-the-Indian-Mutiny.txt",8458,101845,8.304776866807403
"G-A-Henty-At-The-Point-of-the-Bayonet-A-Tale-of-the-Mahratta-War.txt",7010,135271,5.182189826348589
"G-A-Henty-In-Times-of-Peril-A-Tale-of-India-Fiction.txt",6920,108594,6.37235943053944
"G-A-Henty-Rujub-the-Juggler-Fiction.txt",7244,150486,4.8137368260170375
"G-A-Henty-The-Tiger-of-Mysore-A-Story-of-the-War-With-Tippoo-Sahib.txt",7094,138126,5.135890418892894
"G-A-Henty-Through-the-Sikh-War-A-Tale-of-the-conquest-ofthe-Punjab-Fiction.txt",6866,131353,5.227136038004461
