sentence,polarity,subjectivity
Chapter I The Science of Deduction Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case,0.0,0.0
With his long white nervous fingers he adjusted the delicate needle and rolled back his left shirt-cuff,-0.06999999999999999,0.26
For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks,0.10625000000000001,0.5
Finally he thrust the sharp point home pressed down the tiny piston and sank back into the velvet-lined arm-chair with a long sigh of satisfaction,-0.05509259259259259,0.48981481481481476
Three times a day for many months I had witnessed this performance but custom had not reconciled my mind to it,0.5,0.5
On the contrary from day to day I had become more irritable at the sight and my conscience swelled nightly within me at the thought that I had lacked the courage to protest,0.5,0.5
Again and again I had registered a vow that I should deliver my soul upon the subject but there was that in the cool nonchalant air of my companion which made him the last man with whom one would care to take anything approaching to a liberty,0.04583333333333333,0.2625
His great powers his masterly manner and the experience which I had had of his many extraordinary qualities all made me diffident and backward in crossing him,0.35833333333333334,0.7625
Yet upon that afternoon whether it was the Beaune which I had taken with my lunch or the additional exasperation produced by the extreme deliberation of his manner I suddenly felt that I could hold out no longer,-0.0625,0.75
“ Which is it to-day ” I asked — “ morphine or cocaine ” He raised his eyes languidly from the old black-letter volume which he had opened,0.1,0.2
“ It is cocaine ” he said — “ a seven-per-cent,0.0,0.0
solution,0.0,0.0
Would you care to try it ” “ No indeed ” I answered brusquely,0.0,0.0
“ My constitution has not got over the Afghan campaign yet,0.0,0.0
I can not afford to throw any extra strain upon it ” He smiled at my vehemence,0.3,0.15000000000000002
“ Perhaps you are right Watson ” he said,0.2857142857142857,0.5357142857142857
“ I suppose that its influence is physically a bad one,-0.6999999999999998,0.6666666666666666
I find it however so transcendently stimulating and clarifying to the mind that its secondary action is a matter of small moment ” “ But consider ” I said earnestly,-0.1708333333333333,0.26666666666666666
“ Count the cost,0.0,0.0
Your brain may as you say be roused and excited but it is a pathological and morbid process which involves increased tissue-change and may at last leave a permanent weakness,0.1875,0.4083333333333333
You know too what a black reaction comes upon you,-0.16666666666666666,0.43333333333333335
Surely the game is hardly worth the candle,0.13333333333333333,0.46296296296296297
Why should you for a mere passing pleasure risk the loss of those great powers with which you have been endowed,0.15000000000000002,0.625
Remember that I speak not only as one comrade to another but as a medical man to one for whose constitution he is to some extent answerable ” He did not seem offended,0.0,0.5
On the contrary he put his finger-tips together and leaned his elbows on the arms of his chair like one who has a relish for conversation,0.0,0.0
“ My mind ” he said “ rebels at stagnation,0.0,0.0
Give me problems give me work give me the most abstruse cryptogram or the most intricate analysis and I am in my own proper atmosphere,0.4,0.525
I can dispense then with artificial stimulants,-0.6,1.0
But I abhor the dull routine of existence,-0.2916666666666667,0.5
I crave for mental exaltation,-0.1,0.2
That is why I have chosen my own particular profession —or rather created it for I am the only one in the world ” “ The only unofficial detective ” I said raising my eyebrows,0.19166666666666665,0.8333333333333333
“ The only unofficial consulting detective ” he answered,0.0,1.0
“ I am the last and highest court of appeal in detection,0.0,0.06666666666666667
When Gregson or Lestrade or Athelney Jones are out of their depths—which by the way is their normal state—the matter is laid before me,0.15,0.6499999999999999
I examine the data as an expert and pronounce a specialist ’ s opinion,0.0,0.0
I claim no credit in such cases,0.0,0.5
My name figures in no newspaper,0.0,0.0
The work itself the pleasure of finding a field for my peculiar powers is my highest reward,0.0,0.0
But you have yourself had some experience of my methods of work in the Jefferson Hope case ” “ Yes indeed ” said I cordially,0.0,0.0
“ I was never so struck by anything in my life,0.0,0.0
I even embodied it in a small brochure with the somewhat fantastic title of ‘ A Study in Scarlet ’ ” He shook his head sadly,-0.11666666666666665,0.7666666666666666
“ I glanced over it ” said he,0.0,0.0
“ Honestly I can not congratulate you upon it,0.6,0.9
Detection is or ought to be an exact science and should be treated in the same cold and unemotional manner,-0.11666666666666665,0.4583333333333333
You have attempted to tinge it with romanticism which produces much the same effect as if you worked a love-story or an elopement into the fifth proposition of Euclid ” “ But the romance was there ” I remonstrated,0.1,0.1625
“ I could not tamper with the facts ” “ Some facts should be suppressed or at least a just sense of proportion should be observed in treating them,-0.3,0.4
The only point in the case which deserved mention was the curious analytical reasoning from effects to causes by which I succeeded in unraveling it ” I was annoyed at this criticism of a work which had been specially designed to please him,-0.03571428571428571,0.8428571428571427
I confess too that I was irritated by the egotism which seemed to demand that every line of my pamphlet should be devoted to his own special doings,0.47857142857142854,0.7857142857142857
More than once during the years that I had lived with him in Baker Street I had observed that a small vanity underlay my companion ’ s quiet and didactic manner,-0.0625,0.5083333333333333
I made no remark however but sat nursing my wounded leg,0.0,0.0
I had a Jezail bullet through it some time before and though it did not prevent me from walking it ached wearily at every change of the weather,0.0,0.0
“ My practice has extended recently to the Continent ” said Holmes after a while filling up his old brier-root pipe,0.05,0.225
“ I was consulted last week by François Le Villard who as you probably know has come rather to the front lately in the French detective service,-0.09999999999999999,0.2222222222222222
He has all the Celtic power of quick intuition but he is deficient in the wide range of exact knowledge which is essential to the higher developments of his art,0.055555555555555546,0.44166666666666665
The case was concerned with a will and possessed some features of interest,0.0,0.0
I was able to refer him to two parallel cases the one at Riga in 1857 and the other at St Louis in 1871 which have suggested to him the true solution,0.18125,0.4125
Here is the letter which I had this morning acknowledging my assistance ” He tossed over as he spoke a crumpled sheet of foreign notepaper,-0.125,0.125
I glanced my eyes down it catching a profusion of notes of admiration with stray “ magnifiques ” “ coup-de-maîtres ” and “ tours-de-force ” all testifying to the ardent admiration of the Frenchman,0.2222222222222222,0.5944444444444444
“ He speaks as a pupil to his master ” said I,0.0,0.0
“ Oh he rates my assistance too highly ” said Sherlock Holmes lightly,0.28,0.6199999999999999
“ He has considerable gifts himself,0.1,0.45
He possesses two out of the three qualities necessary for the ideal detective,0.45,1.0
He has the power of observation and that of deduction,0.0,0.0
He is only wanting in knowledge and that may come in time,0.0,1.0
He is now translating my small works into French ” “ Your works ” “ Oh didn ’ t you know ” he cried laughing,-0.125,0.2
“ Yes I have been guilty of several monographs,-0.25,0.5
They are all upon technical subjects,0.0,0.1
Here for example is one ‘ Upon the Distinction between the Ashes of the Various Tobaccoes ’ In it I enumerate a hundred and forty forms of cigar cigarette and pipe-tobacco with coloured plates illustrating the difference in the ash,0.0,0.5
It is a point which is continually turning up in criminal trials and which is sometimes of supreme importance as a clue,-0.4,0.55
If you can say definitely for example that some murder has been done by a man who was smoking an Indian lunkah it obviously narrows your field of search,0.0,0.5
To the trained eye there is as much difference between the black ash of a Trichinopoly and the white fluff of bird ’ s-eye as there is between a cabbage and a potato ” “ You have an extraordinary genius for minutiæ ” I remarked,0.05333333333333333,0.38666666666666666
“ I appreciate their importance,0.0,0.0
Here is my monograph upon the tracing of footsteps with some remarks upon the uses of plaster of Paris as a preserver of impresses,0.0,0.0
Here too is a curious little work upon the influence of a trade upon the form of the hand with lithotypes of the hands of slaters sailors corkcutters compositors weavers and diamond-polishers,-0.14375,0.75
That is a matter of great practical interest to the scientific detective —especially in cases of unclaimed bodies or in discovering the antecedents of criminals,0.8,0.75
But I weary you with my hobby ” “ Not at all ” I answered earnestly,0.0,0.0
“ It is of the greatest interest to me especially since I have had the opportunity of observing your practical application of it,0.5,1.0
But you spoke just now of observation and deduction,0.0,0.0
Surely the one to some extent implies the other ” “ Why hardly ” he answered leaning back luxuriously in his arm-chair and sending up thick blue wreaths from his pipe,-0.03611111111111112,0.39675925925925926
“ For example observation shows me that you have been to the Wigmore Street Post-Office this morning but deduction lets me know that when there you dispatched a telegram ” “ Right ” said I,0.3571428571428571,0.5357142857142857
“ Right on both points,0.3571428571428571,0.5357142857142857
But I confess that I don ’ t see how you arrived at it,0.0,0.0
It was a sudden impulse upon my part and I have mentioned it to no one ” “ It is simplicity itself ” he remarked chuckling at my surprise — “ so absurdly simple that an explanation is superfluous and yet it may serve to define the limits of observation and of deduction,0.0,0.4285714285714286
Observation tells me that you have a little reddish mould adhering to your instep,-0.1875,0.5
Just opposite the Wigmore Street Office they have taken up the pavement and thrown up some earth which lies in such a way that it is difficult to avoid treading in it in entering,-0.16666666666666666,0.5
The earth is of this peculiar reddish tint which is found as far as I know nowhere else in the neighbourhood,0.1,1.0
So much is observation,0.2,0.2
The rest is deduction ” “ How then did you deduce the telegram ” “ Why of course I knew that you had not written a letter since I sat opposite to you all morning,0.0,0.0
I see also in your open desk there that you have a sheet of stamps and a thick bundle of post-cards,-0.15000000000000002,0.4875
What could you go into the post-office for then but to send a wire,0.0,0.0
Eliminate all other factors and the one which remains must be the truth ” “ In this case it certainly is so ” I replied after a little thought,-0.03273809523809524,0.48214285714285715
“ The thing however is as you say of the simplest,0.0,0.0
Would you think me impertinent if I were to put your theories to a more severe test ” “ On the contrary ” he answered “ it would prevent me from taking a second dose of cocaine,0.25,0.25
I should be delighted to look into any problem which you might submit to me ” “ I have heard you say that it is difficult for a man to have any object in daily use without leaving the impress of his individuality upon it in such a way that a trained observer might read it,0.04999999999999999,0.55
Now I have here a watch which has recently come into my possession,0.0,0.25
Would you have the kindness to let me have an opinion upon the character or habits of the late owner ” I handed him over the watch with some slight feeling of amusement in my heart for the test was as I thought an impossible one and I intended it as a lesson against the somewhat dogmatic tone which he occasionally assumed,-0.2833333333333333,0.47291666666666665
He balanced the watch in his hand gazed hard at the dial opened the back and examined the works first with his naked eyes and then with a powerful convex lens,0.07638888888888888,0.4791666666666667
I could hardly keep from smiling at his crestfallen face when he finally snapped the case to and handed it back,-0.09722222222222222,0.5138888888888888
“ There are hardly any data ” he remarked,-0.2916666666666667,0.5416666666666666
“ The watch has been recently cleaned which robs me of my most suggestive facts ” “ You are right ” I answered,0.2619047619047619,0.42857142857142855
“ It was cleaned before being sent to me ” In my heart I accused my companion of putting forward a most lame and impotent excuse to cover his failure,-0.09166666666666667,0.4
What data could he expect from an uncleaned watch,0.0,0.0
“ Though unsatisfactory my research has not been entirely barren ” he observed staring up at the ceiling with dreamy lack-lustre eyes,0.0,0.625
“ Subject to your correction I should judge that the watch belonged to your elder brother who inherited it from your father ” “ That you gather no doubt from the H W upon the back ” “ Quite so,-0.08333333333333333,0.16666666666666666
The W suggests your own name,0.6,1.0
The date of the watch is nearly fifty years back and the initials are as old as the watch so it was made for the last generation,0.05,0.16666666666666669
Jewelry usually descends to the eldest son and he is most likely to have the same name as the father,0.0625,0.46875
Your father has if I remember right been dead many years,0.1952380952380952,0.4785714285714286
