Turn,TurnID,TurnType,narrative_time,speaker,addressee,qType,speakerType,speakerGender
Chapter I The Science of Deduction Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case.,S0-0,narration,0.0,narrator,,,narrator,A
"With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff.",S1-0,narration,0.0004899559039686,narrator,,,narrator,A
For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks.,S2-0,narration,0.0009799118079372,narrator,,,narrator,A
"Finally he thrust the sharp point home, pressed down the tiny piston, and sank back into the velvet-lined arm-chair with a long sigh of satisfaction.",S3-0,narration,0.0014698677119059,narrator,,,narrator,A
"Three times a day for many months I had witnessed this performance, but custom had not reconciled my mind to it.",S4-0,narration,0.0019598236158745,narrator,,,narrator,A
"On the contrary, from day to day I had become more irritable at the sight, and my conscience swelled nightly within me at the thought that I had lacked the courage to protest.",S5-0,narration,0.0024497795198432,narrator,,,narrator,A
"Again and again I had registered a vow that I should deliver my soul upon the subject, but there was that in the cool, nonchalant air of my companion which made him the last man with whom one would care to take anything approaching to a liberty.",S6-0,narration,0.0029397354238118,narrator,,,narrator,A
"His great powers, his masterly manner, and the experience which I had had of his many extraordinary qualities, all made me diffident and backward in crossing him.",S7-0,narration,0.0034296913277805,narrator,,,narrator,A
"Yet upon that afternoon, whether it was the Beaune which I had taken with my lunch, or the additional exasperation produced by the extreme deliberation of his manner, I suddenly felt that I could hold out no longer.",S8-0,narration,0.0039196472317491,narrator,,,narrator,A
Which is it to-day?,Q0-0,quote,0.0044096031357177,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"I asked,",S9-0,narration,0.0048995590396864,narrator,,,narrator,A
morphine or cocaine?,Q0-1,quote,0.005389514943655,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
He raised his eyes languidly from the old black-letter volume which he had opened.,S10-0,narration,0.0058794708476237,narrator,,,narrator,A
"It is cocaine,",Q1-0,quote,0.0063694267515923,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"he said,",S11-0,narration,0.0068593826555609,narrator,,,narrator,A
a seven-per-cent. solution. Would you care to try it?,Q1-1,quote,0.0073493385595296,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"No, indeed,",Q2-0,quote,0.0078392944634982,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"I answered, brusquely.",S12-0,narration,0.0083292503674669,narrator,,,narrator,A
My constitution has not got over the Afghan campaign yet. I cannot afford to throw any extra strain upon it.,Q2-1,quote,0.0088192062714355,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
He smiled at my vehemence.,S13-0,narration,0.0093091621754042,narrator,,,narrator,A
"Perhaps you are right, Watson,",Q3-0,quote,0.0097991180793728,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
he said.,S14-0,narration,0.0102890739833415,narrator,,,narrator,A
